,row_num,gene_symbol
786,9097,LRP12
787,9099,RSPO2
788,9115,VLDLR
789,9118,NFIB
790,9126,C9orf72
791,9134,NTRK2
792,9136,SHC3
793,9148,GSN
794,9184,NOTCH1
795,9194,SLC39A12
796,9198,PARD3
797,9200,ZEB1
798,9204,CDHR1
799,9213,ANKRD1
800,9219,VAX1
801,9231,NKX6-2
802,9242,ADM
803,9246,LRRC4C
804,9280,PAK1
805,9284,NCAM1
806,9285,DRD2
807,9308,ROM1
808,9322,FEZ1
809,9324,KIRREL3
810,9331,DUSP15
811,9358,TBX6
812,9364,TAOK2
813,9376,ITGB1
814,9385,CTF1
815,9408,GPM6A
816,9411,VEGFC
817,9427,DIXDC1
818,9464,BTBD11
819,9466,ANK3
820,9474,TWF1
821,9476,EIF4E
822,9504,SCLT1
823,9509,PTPRO
824,9521,DRD3
825,9524,POU4F2
826,9529,DPYSL4
827,9567,GFRA1
828,9570,BEND6
829,9588,ASTN1
830,9599,POU4F1
831,9602,GRID2
832,9604,RIT2
833,9618,TCF7L1
834,9622,UHMK1
835,9625,SPOCK1
836,9656,IGSF10
837,9666,GJA1
838,9680,FARP1
839,9684,PRDM8
840,9690,PTPRK
841,9729,BMP6
842,9739,NR4A2
843,9775,PTPRD
844,9796,LGI4
845,9810,SEMA3D
846,9818,IMPACT
847,9822,THY1
848,9831,ROBO3
849,9845,PRKCA
850,9855,UCHL1
851,9858,TNIK
852,9863,WNT3A
853,9866,TRIM11
854,9867,ENAH
855,9894,CHODL
856,9896,NCAM2
857,9908,WNT7A
858,9920,APCDD1
859,9928,EPHB1
860,9961,ZFYVE27
861,10008,FZD7
862,10037,KIF5A
863,10048,GNAQ
864,10080,TIAM1
865,10095,GDF6
866,10119,NPTN
867,10123,UNC5D
868,10169,ATP2B2
869,10180,NRG1
870,10184,LRP8
871,10191,MMP14
872,10192,FZD1
873,10210,KIT
874,10246,BRAF
875,10258,DPYSL5
876,10270,SKI
877,10291,NCK1
878,10313,CUL4B
879,10318,AUTS2
880,10352,GDPD5
881,10367,SLC45A3
882,10371,NBL1
883,10399,WNT9B
884,10434,RUNX1
885,10462,BTG2
886,10479,ISL2
887,10491,SPON2
888,10523,ARHGAP35
889,10538,NR2F6
